affair_type,date,file_urls,files,identifier,path,politican,session,title
,22.04.2010,https://www.ow.ch/dl.php/de/4b2f838e09055/Befristete_Sondersteuer_Infrastrukturanlagen.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4b2f838e09055/Befristete_Sondersteuer_Infrastrukturanlagen.pdf', 'path': 'full/8de26fef693e16ec0dba6e4c03ee3ba25e3ce14f.pdf', 'checksum': '8427a7f22fa1bc6d18ae9cc287f55043', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Befristete_Sondersteuer_Infrastrukturanlagen.pdf,,28.01.2010 - Kantonsratssitzung,Motion betreffend befristete Sondersteuer für Infrastrukturanlagen der Gemeinden
,22.04.2010,https://www.ow.ch/dl.php/de/4ba3749853504/Interpellation_Kantonsfinanzen.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ba3749853504/Interpellation_Kantonsfinanzen.pdf', 'path': 'full/6ba472b011807ee56a85f677598d21a22e962f59.pdf', 'checksum': 'a7214156bf0906b2a7bb1dfc95056e61', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Kantonsfinanzen.pdf,,22.04.2010 - Kantonsratssitzung,Interpellation betreffend Kantonsfinanzen: Fakten auf den Tisch
,25.03.2010,https://www.ow.ch/dl.php/de/4ba3743d831af/Motion_Bildungsraum_Zentralschweiz.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ba3743d831af/Motion_Bildungsraum_Zentralschweiz.pdf', 'path': 'full/37e23776df7c39410a4d0bd82de9a39e02741739.pdf', 'checksum': '0914947f84a480f73bf3a1b976ab463a', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Bildungsraum_Zentralschweiz.pdf,,22.04.2010 - Kantonsratssitzung,Motion betreffend Bildungsraum Zentralschweiz
,22.04.2010,https://www.ow.ch/dl.php/de/ax-58d9fbb140ddc/Anfrage_betreffend_Zusammensetzung_des_Eigenkapitals.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/ax-58d9fbb140ddc/Anfrage_betreffend_Zusammensetzung_des_Eigenkapitals.pdf', 'path': 'full/981d7dea9269852a3447e96b2da855f32563da09.pdf', 'checksum': '303cacb079156f3c7bf7a93494a32618', 'status': 'downloaded'}]",Vorlage,affairs/ow/Vorlage_Anfrage_betreffend_Zusammensetzung_des_Eigenkapitals.pdf,,,Anfrage betreffend Zusammensetzung des Eigenkapitals:
,20.05.2010,https://www.ow.ch/dl.php/de/4ba3739f0ca34/Motion_Juko_Pavillon.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ba3739f0ca34/Motion_Juko_Pavillon.pdf', 'path': 'full/6ebd45bdd725703d606d0a092a9d160a01f20ef2.pdf', 'checksum': '680944a0feae49629e17217aef9347af', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Juko_Pavillon.pdf,,22.04.2010 - Kantonsratssitzung,Motion betreffend „Den Geist des Juko-Pavillon am Leben erhalten“
,09.09.2010,https://www.ow.ch/dl.php/de/4bde7917316fd/Hochwasserschutz_Botschaft.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4bde7917316fd/Hochwasserschutz_Botschaft.pdf', 'path': 'full/66153e97e0e7df57c8aa8846cbaba1f5af0b005a.pdf', 'checksum': '975292ca68e7872912f12f7254e36f3b', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Hochwasserschutz_Botschaft.pdf,,20.05.2010 - Kantonsratssitzung,Hochwasserschutz Sarneraatal
,09.09.2010,https://www.ow.ch/dl.php/de/4c73dc034048f/Motion_Richterentschadigung.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4c73dc034048f/Motion_Richterentschadigung.pdf', 'path': 'full/e94636176a9e523f63d9ceb44cc0d94f88639847.pdf', 'checksum': 'a87ee139817a52647b38e06fa8dccb7c', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Richterentschadigung.pdf,,09.09.2010 - Kantonsratssitzung,Motion betreffend Entschädigung der nebenamtlichen Richter und Richterinnen für das Aktenstudium
,28.10.2010,https://www.ow.ch/dl.php/de/4c3b00208c5d6/IPV-Initiative_Bericht.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4c3b00208c5d6/IPV-Initiative_Bericht.pdf', 'path': 'full/7dfa5096c3458212463696e103edb98f9a7e705d.pdf', 'checksum': '7593ecadc04e162d8ef2e85492e0ad42', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_IPV-Initiative_Bericht.pdf,,09.09.2010 - Kantonsratssitzung,Volksbegehren (Initiative) zur Änderung des Einführungsgesetzes zum Krankenversicherungsgesetz
,28.10.2010,https://www.ow.ch/dl.php/de/4cb718c8c54d0/Motion_Ueberpruefung_Aufgabenverteilung.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4cb718c8c54d0/Motion_Ueberpruefung_Aufgabenverteilung.pdf', 'path': 'full/f143e24c6b952a11f9e8006ab03fcff9d93c3209.pdf', 'checksum': 'e97f3463f7a91229c556b81288801909', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Ueberpruefung_Aufgabenverteilung.pdf,Walter Wyrsch,28.10.2010 - Kantonsratssitzung,Motion betreffend Überprüfung der Aufgabenverteilung
,28.10.2010,https://www.ow.ch/dl.php/de/4ca0839fc48f1/Motion_Kapitalsteuer.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ca0839fc48f1/Motion_Kapitalsteuer.pdf', 'path': 'full/7173330e1d6cf08f764c21eee1f530f551dff87c.pdf', 'checksum': '5afdf8b2b8f87617faac39c123faca38', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Kapitalsteuer.pdf,,28.10.2010 - Kantonsratssitzung,Motion betreffend Reduzierung der Kapitalsteuer bei gemischten Holding- und Domizilgesellschaften
,28.10.2010,https://www.ow.ch/dl.php/de/4ca082fba0a19/Motion_Baubegriffe_Messweisen.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ca082fba0a19/Motion_Baubegriffe_Messweisen.pdf', 'path': 'full/e862a102bcfb1598c18d3d53cc124c30999740dc.pdf', 'checksum': 'e6a9d31dfd6afc718f0952090fc83da2', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Baubegriffe_Messweisen.pdf,,28.10.2010 - Kantonsratssitzung,Motion betreffend Vereinheitlichung der Baubegriffe und Messweisen
,02.12.2010,https://www.ow.ch/dl.php/de/4ca07eaf5cc47/Aenderungsantrag_IPV_Kommission.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ca07eaf5cc47/Aenderungsantrag_IPV_Kommission.pdf', 'path': 'full/627c30d7b4edbe57c2fb66c34db1c0b3d47a773e.pdf', 'checksum': 'f0118bb420cb804d487e65c15674772d', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Aenderungsantrag_IPV_Kommission.pdf,,28.10.2010 - Kantonsratssitzung,Volksbegehren zur Änderung des Einführungsgesetzes zum Krankenversicherungsgesetz („Faire Krankenkassenprämienverbilligung“): Verfassungsmässigkeit und allfälliger Gegenvorschlag
,02.12.2010,https://www.ow.ch/dl.php/de/4cd9549017ac1/Interpellation_Ortsplanung_Sarnen.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4cd9549017ac1/Interpellation_Ortsplanung_Sarnen.pdf', 'path': 'full/222dfa8ea809a86d005b7310d712a25c89627231.pdf', 'checksum': '71acd33dab92b299db41758626d402fb', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Ortsplanung_Sarnen.pdf,,02.12.2010 - Kantonsratssitzung,Interpellation betreffend Vorprüfungsbericht des Kantons betreffend Teilrevision der Ortsplanung Sarnen
,27.01.2011,https://www.ow.ch/dl.php/de/4cd9555e2e14f/Interpellation_Denkmalschutz_Wohnhaeuser.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4cd9555e2e14f/Interpellation_Denkmalschutz_Wohnhaeuser.pdf', 'path': 'full/be273b711ff3698591a8e887020e84b1b17448db.pdf', 'checksum': '696f1590f3d874a5776ce238c164b2c1', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Interpellation_Denkmalschutz_Wohnhaeuser.pdf,,02.12.2010 - Kantonsratssitzung,Interpellation betreffend Denkmalschutz von Wohnhäusern
,27.01.2011,https://www.ow.ch/dl.php/de/4d19bae76bf88/Interpellation_Zentralbahn.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d19bae76bf88/Interpellation_Zentralbahn.pdf', 'path': 'full/a06bde542d7bbfbe9dfedf19441fd8b2f6730cd4.pdf', 'checksum': 'e0c7445f3b5084cc6a04591bdc0eac75', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Zentralbahn.pdf,Ruth Koch-Niederberger,27.01.2011 - Kantonsratssitzung,Interpellation betreffend Auswirkungen der Projektänderung beim geplanten Doppelspurausbau der Zentralbahn in Hergiswil
,07.03.2011,https://www.ow.ch/dl.php/de/4d19ba492827b/Interpellation_Hochwasser.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d19ba492827b/Interpellation_Hochwasser.pdf', 'path': 'full/d9922879fed673c10e1e47e43d28feba579a694d.pdf', 'checksum': '76a38edc20104304eaaa6b4988d44a11', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Hochwasser.pdf,,27.01.2011 - Kantonsratssitzung,Interpellation betreffend Umsetzung der Initiative durch den Regierungsrat nach der kantonalen Hochwasserschutz-Abstimmung vom 26. September 2010
,17.03.2011,https://www.ow.ch/dl.php/de/4d592625c1bec/Motion_Strafverfolgung_Wirtschaftsdelikte.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d592625c1bec/Motion_Strafverfolgung_Wirtschaftsdelikte.pdf', 'path': 'full/c6c03ebe706110559a42758850f7552faf2189fc.pdf', 'checksum': '98b2b31eb927caefbdc6fa90e8a5b9bc', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Strafverfolgung_Wirtschaftsdelikte.pdf,,17.03.2011 - Kantonsratssitzung,Motion betreffend Zusammenarbeit bei der Strafverfolgung von Wirtschaftsdelikten
,17.03.2011,https://www.ow.ch/dl.php/de/4d5926b98dce9/Motion_Aufgabenteilung.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d5926b98dce9/Motion_Aufgabenteilung.pdf', 'path': 'full/dd2261e0c02efdbd81551bc82781dfc91b8a08d2.pdf', 'checksum': 'e9e495ab82b2f11e7e2b83f335e29d49', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Aufgabenteilung.pdf,,17.03.2011 - Kantonsratssitzung,Motion betreffend Aufgabenteilung und veränderte Finanzierung
,17.03.2011,https://www.ow.ch/dl.php/de/4d5927be40158/Interpellation_Lohngleichheit.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d5927be40158/Interpellation_Lohngleichheit.pdf', 'path': 'full/8b60f2417049df96df44d0c91055dd8252bc952c.pdf', 'checksum': '2a15e18f0b035250620f2b3670eedf39', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Lohngleichheit.pdf,,17.03.2011 - Kantonsratssitzung,Interpellation betreffend Lohngleichheit für Frau und Mann
,14.04.2011,https://www.ow.ch/dl.php/de/4d5927459d946/Motion_Schulferien.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d5927459d946/Motion_Schulferien.pdf', 'path': 'full/778a619b29cf7d40306e57e9d35cba2ce6c25ab6.pdf', 'checksum': 'a0b48e1ce3e3caee60b4b7a170315ad5', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Schulferien.pdf,Urs Keiser,17.03.2011 - Kantonsratssitzung,Motion betreffend Neuregelung der kantonalen Schulferien
,14.04.2011,https://www.ow.ch/dl.php/de/4d8c687adc58c/Interpellation_Bettentrakt_Holz.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d8c687adc58c/Interpellation_Bettentrakt_Holz.pdf', 'path': 'full/d05bc0f2b37ed373ba9af89fddfaf8ff80c318f0.pdf', 'checksum': 'ebdc0491d6ed96f28e2f8498e3805163', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Bettentrakt_Holz.pdf,Albert Sigrist,14.04.2011 - Kantonsratssitzung,Interpellation betreffend Neubau Bettentrakt Spital Obwalden mit einheimischem Holz
,14.04.2011,https://www.ow.ch/dl.php/de/4d8c6810d54c2/Motion_Einbuergerungskommission.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d8c6810d54c2/Motion_Einbuergerungskommission.pdf', 'path': 'full/4ca9debc33be1fada3ad5e1099a881140e95542d.pdf', 'checksum': '94b7480ae5c087baa88df6975bfc54fb', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Einbuergerungskommission.pdf,,14.04.2011 - Kantonsratssitzung,Motion betreffend Einführung von Einbürgerungskommissionen
,26.05.2011,https://www.ow.ch/dl.php/de/4d8c67997a95c/Motion_Solaranlagen.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d8c67997a95c/Motion_Solaranlagen.pdf', 'path': 'full/8575c58218800be2d9ebeb36ef861b564eb5f00a.pdf', 'checksum': 'f754b9ec7196fa371879a1429ecbd2af', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Solaranlagen.pdf,,14.04.2011 - Kantonsratssitzung,Motion betreffend Abschaffung der Baubewilligungspflicht für kleinere Solaranlagen (Sonnen-kollektoren zur Warmwassererzeugung und Photovoltaikanlagen zur Stromerzeugung)
,14.04.2011,https://www.ow.ch/dl.php/de/4db6d11442eaf/Interpellation_Pro_Juventute.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4db6d11442eaf/Interpellation_Pro_Juventute.pdf', 'path': 'full/c89c7c13bef3c2b7b4c721ade721dadbb0949a86.pdf', 'checksum': '99cb1e2fa8eac12b661bf09fb5315947', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Pro_Juventute.pdf,Veronika Wagner-Hersche,26.05.2011 - Kantonsratssitzung,"Interpellation betreffend Trägerschaft für das Hilfsangebot ""Pro Juventute Beratung und Hilfe 147"""
