first_name,image_urls,images,jurisdiction,last_name,path
Peter,https://www.ow.ch/de/images/imim_5f06b39715430.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b39715430.jpg', 'path': 'full/83c27b62d06414cdd0db8f57874f8b7c6063293c.jpg', 'checksum': 'cecc38a5ac5ca904ab6410ca2c4fce54', 'status': 'uptodate'}]",Giswil,Abächerli,files/politicans/ow/PeterAbächerli_imim_5f06b39715430.jpg
Alex,https://www.ow.ch/de/images/imim_5fd781a848386.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a848386.jpg', 'path': 'full/735aa2968c3be6fb7223717e6162eff2052f96f0.jpg', 'checksum': 'e3de70b62a6eaf4fa65fbddccc9ed8d8', 'status': 'uptodate'}]",Engelberg,Höchli,files/politicans/ow/AlexHöchli_imim_5fd781a848386.jpg
Regula,https://www.ow.ch/de/images/imim_5f06b393be743.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b393be743.jpg', 'path': 'full/5437a638c48a64b8dc340ea5ae620f00050c26be.jpg', 'checksum': '402a0e7da904e1b5ed2ddfe699792ea7', 'status': 'uptodate'}]",Alpnach,Gerig,files/politicans/ow/RegulaGerig_imim_5f06b393be743.jpg
Ivo,https://www.ow.ch/de/images/imim_5fca57c28ece3.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fca57c28ece3.jpg', 'path': 'full/068cfaee61799a47c9777669f085ddb3ce747139.jpg', 'checksum': '4589705e2eea369c589f384b3603a779', 'status': 'uptodate'}]",Alpnach,Herzog,files/politicans/ow/IvoHerzog_imim_5fca57c28ece3.jpg
Andreas,https://www.ow.ch/de/images/imim_5f6449a8403ad.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f6449a8403ad.jpg', 'path': 'full/ebd7b218150184a25f70f424e1a1d0c3e60e9865.jpg', 'checksum': '3ed817975a05c7b7f55c8e6e6342d7cc', 'status': 'uptodate'}]",Lungern,Gasser,files/politicans/ow/AndreasGasser_imim_5f6449a8403ad.jpg
Kantonsrat,https://www.ow.ch/de/images/imim_5fd781a924afa.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a924afa.jpg', 'path': 'full/eb6f01eef3bad5d29d601ae457456333c59d98ce.jpg', 'checksum': '5739bbadb80145201349f7e450a20ec8', 'status': 'uptodate'}]",Alpnach,Martin,files/politicans/ow/KantonsratMartin_imim_5fd781a924afa.jpg
Karin,https://www.ow.ch/de/images/imim_5f984003b371d.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f984003b371d.jpg', 'path': 'full/920bd5f5c6bbb294eaa8abd84bf0d167657ccd32.jpg', 'checksum': 'ce12bca62c9a659a6fbf3e41abff7486', 'status': 'uptodate'}]",Engelberg,Flühler,files/politicans/ow/KarinFlühler_imim_5f984003b371d.jpg
Jost,https://www.ow.ch/de/images/imim_5fd781a86783b.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a86783b.jpg', 'path': 'full/4f9a9cf7294955cf4679ac377a1fe905d592e21e.jpg', 'checksum': '9079305111db77ef86ce2bea5873a0e6', 'status': 'uptodate'}]",Kerns,Durrer,files/politicans/ow/JostDurrer_imim_5fd781a86783b.jpg
Karl,https://www.ow.ch/de/images/imim_5f6200689e956.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f6200689e956.jpg', 'path': 'full/888d3fc2639c1b75628049226abdb55843759bc8.jpg', 'checksum': '041785d106245e51b478a0c9ee74d272', 'status': 'uptodate'}]",Engelberg,Feierabend,files/politicans/ow/KarlFeierabend_imim_5f6200689e956.jpg
Franziska,https://www.ow.ch/de/images/imim_5efdedeb317fc.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5efdedeb317fc.jpg', 'path': 'full/80eacddf0bb7430720342e8aa4a0b2d450920ac7.jpg', 'checksum': '5a3da6f8f89d8de739d2a251d3d136f9', 'status': 'uptodate'}]",Lungern,Gasser,files/politicans/ow/FranziskaGasser_imim_5efdedeb317fc.jpg
Remo,https://www.ow.ch/de/images/imim_5f06b39702a48.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b39702a48.jpg', 'path': 'full/f56a3d335e06ca097e49a20c79cb131805fe5ddf.jpg', 'checksum': 'db044b7bb1051aba190b3bf4415860b9', 'status': 'uptodate'}]",Sarnen,Fanger,files/politicans/ow/RemoFanger_imim_5f06b39702a48.jpg
Marcel,https://www.ow.ch/de/images/imim_5f06b394a6471.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b394a6471.jpg', 'path': 'full/d014449838f7f496af0f403189403a1e48539e81.jpg', 'checksum': '618915cec8f8dac0821b75e9ba56271d', 'status': 'uptodate'}]",Alpnach,Durrer,files/politicans/ow/MarcelDurrer_imim_5f06b394a6471.jpg
Dominik,https://www.ow.ch/de/images/imim_5f96c5eb22ac3.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f96c5eb22ac3.jpg', 'path': 'full/10e2eeefd6a65fac331a741d4ec7eeae57ae24ed.jpg', 'checksum': '2f992a1fa76a0b834f89f498ed57ecbe', 'status': 'uptodate'}]",Sarnen,Imfeld,files/politicans/ow/DominikImfeld_imim_5f96c5eb22ac3.jpg
Gerhard,https://www.ow.ch/de/images/imim_5fd781a836895.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a836895.jpg', 'path': 'full/83a39484370e3fb1c7b3b63d7aa92321aded52fb.jpg', 'checksum': '203a6c46098f6d4b66e60a5df2421bab', 'status': 'uptodate'}]",Kerns,Durrer,files/politicans/ow/GerhardDurrer_imim_5fd781a836895.jpg
Benno,https://www.ow.ch/de/images/imim_600850671db5a.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_600850671db5a.jpg', 'path': 'full/3cc32a8fe79facca41133243c7a553e77df91de0.jpg', 'checksum': '9802b6c4f75dbf3e011f78beb29dbe11', 'status': 'uptodate'}]",Alpnach,Dillier,files/politicans/ow/BennoDillier_imim_600850671db5a.jpg
Daniel,https://www.ow.ch/de/images/imim_5fd781a90da9f.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a90da9f.jpg', 'path': 'full/62888d2e2945daa1a87226f711406edd0b0172ba.jpg', 'checksum': 'e22f172f33f9243066454227200a3f58', 'status': 'uptodate'}]",Giswil,Windisch,files/politicans/ow/DanielWindisch_imim_5fd781a90da9f.jpg
Veronika,https://www.ow.ch/de/images/imim_5f96c5ea666a5.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f96c5ea666a5.jpg', 'path': 'full/5223becb11223c12f922be845c401a424d1b58b4.jpg', 'checksum': '198c3a7cc0e13079087af1d62251ed7a', 'status': 'uptodate'}]",Kerns,Wagner,files/politicans/ow/VeronikaWagner_imim_5f96c5ea666a5.jpg
Niklaus,https://www.ow.ch/de/images/imim_5f06b396bec24.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b396bec24.jpg', 'path': 'full/181af4704f75437d4a2f24e2934b9ae976bb89d9.jpg', 'checksum': '51e31a8a4e29c22a72cec63ca36618b8', 'status': 'uptodate'}]",Lungern,Vogler,files/politicans/ow/NiklausVogler_imim_5f06b396bec24.jpg
Christoph,https://www.ow.ch/de/images/imim_6008506735dc8.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_6008506735dc8.jpg', 'path': 'full/d55ab4b58c368e1b000772d730b5a08ffcbf4d2e.jpg', 'checksum': '88eadfe0039fbbed532f9cd6ad3f600b', 'status': 'uptodate'}]",Sarnen,von,files/politicans/ow/Christophvon_imim_6008506735dc8.jpg
Giana,https://www.ow.ch/de/images/imim_5f9840037cc34.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f9840037cc34.jpg', 'path': 'full/30b3180e0c07238d602f1d8074b08c7dce7804ae.jpg', 'checksum': '6529760d7628a5a1d47d7187cc5956a4', 'status': 'uptodate'}]",Engelberg,Töngi,files/politicans/ow/GianaTöngi_imim_5f9840037cc34.jpg
Hanspeter,https://www.ow.ch/de/images/imim_5efdede9b79aa.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5efdede9b79aa.jpg', 'path': 'full/d0fda9c119cbfa3682ed8f3721f95c117f3101b3.jpg', 'checksum': '10ef25fd804c36122eb1f4b40f5db456', 'status': 'uptodate'}]",Sachseln,Wallimann,files/politicans/ow/HanspeterWallimann_imim_5efdede9b79aa.jpg
Joe,https://www.ow.ch/de/images/imim_5f3e9168ed08f.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f3e9168ed08f.jpg', 'path': 'full/caf6d7ebb08520e1bc55dcdbf9c3a97d7c7feeb1.jpg', 'checksum': '67daf83612a43b3e327e22411617c4f4', 'status': 'uptodate'}]",Lungern,Vogler,files/politicans/ow/JoeVogler_imim_5f3e9168ed08f.jpg
André,https://www.ow.ch/de/images/imim_5f06b3951f036.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b3951f036.jpg', 'path': 'full/13316779c2fd43c3751be90019e82b914f8b9504.jpg', 'checksum': 'fb1611f8a1d9d4964a8dabff41c3d346', 'status': 'uptodate'}]",Kerns,Windlin,files/politicans/ow/AndréWindlin_imim_5f06b3951f036.jpg
Peter,https://www.ow.ch/de/images/imim_5fe2e303ca000.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fe2e303ca000.jpg', 'path': 'full/c96111577bca39358118ee402d0cfe0f8cadde6a.jpg', 'checksum': '73ed904c32a83d74c86d380054aec74f', 'status': 'uptodate'}]",Giswil,Wälti,files/politicans/ow/PeterWälti_imim_5fe2e303ca000.jpg
Kantonsrat,https://www.ow.ch/de/images/imim_5fe2e303de069.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fe2e303de069.jpg', 'path': 'full/eb5dc5391501582f98c11d035c427f348f9be404.jpg', 'checksum': 'c09159d8b1ddc47dd7ffbdc9d858f63d', 'status': 'uptodate'}]",Alpnach,Reto,files/politicans/ow/KantonsratReto_imim_5fe2e303de069.jpg
Silvia,https://www.ow.ch/de/images/imim_5f6af881b08c8.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f6af881b08c8.jpg', 'path': 'full/8bb8f7ab666564573f13a4b8f4b92144139bc5a1.jpg', 'checksum': 'e3a910e6cb4eae8a8bbb86601a9e566e', 'status': 'uptodate'}]",Sarnen,Zbinden,files/politicans/ow/SilviaZbinden_imim_5f6af881b08c8.jpg
Albert,https://www.ow.ch/de/images/imim_5fca57c265c9e.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fca57c265c9e.jpg', 'path': 'full/164f592201754d1620965ee514dcbd50ac50139b.jpg', 'checksum': 'a2d40358923188d3eb56718e29437ca8', 'status': 'uptodate'}]",Giswil,Sigrist,files/politicans/ow/AlbertSigrist_imim_5fca57c265c9e.jpg
Andreas,https://www.ow.ch/de/images/imim_5fca57c2d2702.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fca57c2d2702.jpg', 'path': 'full/bae4134ce08a0a43b64b94df1398f418ede86070.jpg', 'checksum': '135bad786e3add2adf37e97cbba9848e', 'status': 'uptodate'}]",Alpnach,Sprenger,files/politicans/ow/AndreasSprenger_imim_5fca57c2d2702.jpg
Hubert,https://www.ow.ch/de/images/imim_5fd781a80eda0.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a80eda0.jpg', 'path': 'full/14081c62fe137576152e5f08f7a938df087d0ed0.jpg', 'checksum': '5a9d66af5a742606b70b6a36bd876392', 'status': 'uptodate'}]",Sarnen,Schumacher,files/politicans/ow/HubertSchumacher_imim_5fd781a80eda0.jpg
Gregor,https://www.ow.ch/de/images/imim_5f62006907561.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f62006907561.jpg', 'path': 'full/98096a07860e0c38ef1fc7db76e0d35ab49d4e25.jpg', 'checksum': '7b83d80773b0c3af38b1a603458908a6', 'status': 'uptodate'}]",Sachseln,Rohrer,files/politicans/ow/GregorRohrer_imim_5f62006907561.jpg
